7.975 nsec,406.9 mV,1.588  V
8.025 nsec,288.8 mV,1.210  V
8.075 nsec,246.8 mV,707.0 mV
8.111 nsec,265.6 mV,393.5 mV
8.153 nsec,319.5 mV,180.6 mV
8.189 nsec,386.0 mV,87.27 mV
8.230 nsec,475.8 mV,35.05 mV
8.262 nsec,553.7 mV,18.27 mV
8.289 nsec,623.5 mV,10.83 mV
8.309 nsec,680.0 mV,7.450 mV
8.344 nsec,776.9 mV,3.371 mV
8.379 nsec,878.6 mV,197.1 uV
8.429 nsec,1.027  V,-2.498 mV
8.479 nsec,1.175  V,-4.672 mV
8.529 nsec,1.319  V,-6.375 mV
8.579 nsec,1.454  V,-7.417 mV
8.629 nsec,1.584  V,-7.777 mV
8.679 nsec,1.718  V,-2.723 mV
8.729 nsec,1.856  V,10.11 mV
8.779 nsec,2.000  V,26.28 mV
8.829 nsec,2.144  V,40.00 mV
8.879 nsec,2.287  V,53.31 mV
8.929 nsec,2.427  V,76.04 mV
8.979 nsec,2.570  V,120.2 mV
9.029 nsec,2.693  V,216.6 mV
9.076 nsec,2.773  V,425.9 mV
9.126 nsec,2.832  V,915.8 mV
9.171 nsec,2.866  V,1.503  V
9.217 nsec,2.889  V,1.927  V
9.246 nsec,2.899  V,2.048  V
9.290 nsec,2.909  V,2.139  V
9.334 nsec,2.916  V,2.175  V
9.384 nsec,2.922  V,2.187  V
9.434 nsec,2.926  V,2.186  V
9.484 nsec,2.929  V,2.178  V
9.534 nsec,2.931  V,2.168  V
9.584 nsec,2.933  V,2.154  V
9.634 nsec,2.934  V,2.139  V
9.684 nsec,2.935  V,2.121  V
9.734 nsec,2.936  V,2.098  V
9.784 nsec,2.937  V,2.064  V
9.834 nsec,2.938  V,2.010  V
9.884 nsec,2.940  V,1.925  V
9.934 nsec,2.941  V,1.782  V
9.984 nsec,2.942  V,1.527  V
10.03 nsec,2.943  V,1.119  V
10.08 nsec,2.945  V,618.2 mV
10.13 nsec,2.947  V,257.6 mV
10.18 nsec,2.949  V,106.8 mV
10.23 nsec,2.953  V,37.57 mV
10.26 nsec,2.956  V,18.33 mV
10.29 nsec,2.959  V,11.14 mV
10.31 nsec,2.962  V,7.829 mV
10.34 nsec,2.966  V,4.051 mV
10.38 nsec,2.973  V,570.7 uV
10.43 nsec,2.982  V,-2.865 mV
10.48 nsec,2.987  V,-4.543 mV
10.53 nsec,2.985  V,-6.500 mV
10.58 nsec,2.974  V,-7.615 mV
10.63 nsec,2.960  V,-7.674 mV
10.68 nsec,2.948  V,-2.391 mV
10.73 nsec,2.939  V,10.31 mV
10.78 nsec,2.931  V,26.17 mV
10.83 nsec,2.925  V,41.02 mV
10.88 nsec,2.922  V,53.46 mV
10.93 nsec,2.920  V,76.52 mV
10.98 nsec,2.920  V,122.1 mV
11.03 nsec,2.915  V,217.6 mV
11.08 nsec,2.875  V,444.6 mV
11.13 nsec,2.787  V,951.6 mV
11.17 nsec,2.695  V,1.515  V
11.22 nsec,2.574  V,1.951  V
11.25 nsec,2.491  V,2.068  V
11.30 nsec,2.366  V,2.148  V
11.34 nsec,2.229  V,2.177  V
11.39 nsec,2.080  V,2.186  V
11.44 nsec,1.933  V,2.185  V
11.49 nsec,1.790  V,2.180  V
11.54 nsec,1.651  V,2.173  V
11.59 nsec,1.515  V,2.165  V
11.64 nsec,1.377  V,2.159  V
11.69 nsec,1.237  V,2.154  V
11.74 nsec,1.095  V,2.150  V
11.79 nsec,948.9 mV,2.147  V
11.84 nsec,802.7 mV,2.145  V
11.89 nsec,655.8 mV,2.145  V
11.94 nsec,507.3 mV,2.144  V
11.99 nsec,358.3 mV,2.145  V
12.04 nsec,238.9 mV,2.147  V
12.09 nsec,165.1 mV,2.151  V
12.14 nsec,119.4 mV,2.155  V
12.19 nsec,96.03 mV,2.159  V
12.24 nsec,82.92 mV,2.164  V
12.29 nsec,78.71 mV,2.170  V
12.34 nsec,80.13 mV,2.177  V
12.39 nsec,84.58 mV,2.184  V
